"College","Location","Country","Intake","Course","Fees per year","Duration of course","Plustwo","IELTS(9)","TOEFL(120)","PTE(90)","Accomodation","Scholarship","Internship&placement","Partime job","Stayback","Higher studies possible"
"Mount Royal University","Calgary","Canada"," Sep","Bachelor of Nursing","INR 14.17L","4 yrs","70%","5","20","55","INR 8L","No","Yes","Yes","Yes","Yes"
"Mount Royal University","Calgary","Canada","Jan/Sep","Bachelor of Computer Information Systems","INR 13.96L","4 yrs","65%","6.5","83","58","INR 9L","No","Yes","Yes","Yes","Yes"
"Mount Royal University","Calgary","Canada"," Sep","Bachelor of Science in Health Science","INR 13.96L","4 yrs","65%","6.5","83","58","INR 9L","No","Yes","Yes","Yes","Yes"
"Mount Royal University","Calgary","Canada"," Sep","Bachelor of Arts in Psychology","INR 13.96L","4 yrs","65%","6.5","83","58","INR 6.5L","No","Yes","Yes","Yes","Yes"
"Northwestern Polytechnic","Alberta","Canada","Jan & Sep","Bachelor of Science in Nursing","INR 14.30L","4 yrs","35%","7.5","","","INR 5.7L","No","Yes","Yes","Yes","Yes"
"Northwestern Polytechnic","Alberta","Canada","Jan & Sep","Diploma in Practical Nurse","INR 26.42L","2 yrs","35%","7","","","INR 6.6L","No","Yes","Yes","Yes","Yes"
"Northwestern Polytechnic","Alberta","Canada","Jan & Sep","Bachelor of Business Administration","INR 38L","4 yrs","35%","6.5","84","60","INR 9.6L","No","Yes","Yes","Yes","Yes"
"MEDICINE-HAT-COLLEGE","MedicineHat","Canada","Jan/ Sep","Diploma in Power Engineering Technology","INR 10.17L","2 yrs","60%","6","79","","INR 2.4L","No","Yes","Yes","Yes","Yes"
"MEDICINE-HAT-COLLEGE","MedicineHat","Canada","Jan/ Sep","Diploma in Information Technology","INR 11.19L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"MEDICINE-HAT-COLLEGE","MedicineHat","Canada","Jan/ Sep","Diploma in Business Administration","INR 8.67L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Economics (BA)","INR 14.32L","4 yrs","35%","6","","","","Yes(Max upto 7L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Mechanical Engineering (BEng)","INR 21.53L","5 yrs","35%","6","90","61","","Yes(Max upto 10L)","Yes","Yes","Yes","yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Computer Engineering (BEng)","INR 17.13L","5 yrs","35%","6","90","61","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Electrical Engineering (BEng)","INR 14.69L","4 yrs","35%","6","90","61","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Civil Engineering (BEng)","INR 14.69L","4 yrs","35%","5","34","46","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Accountancy (BComm)","INR 17.32L","5 yrs","35%","6","","","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","International Business (BComm)","INR 17.32L","4 yrs","35%","6","","","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Marketing (BComm)","INR 17.32L","4 yrs","35%","6","","","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Psychology (BA, BSc)","INR 18.52L","4 yrs","35%","6","90","61","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Biochemistry (BSc)","INR 14.32L","4 yrs","35%","6","","","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Physics (BSc)","INR 14.32L","4 yrs","35%","6","","","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Statistics (BA, BSc)","INR 14.32L","4 yrs","35%","6","","","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Concordia-university","Edmonton","Canada","Jan/May/Sep","Sociology (BA)","INR 14.32L","4 yrs","35%","6","","","","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Northern-Alberta-Institute-of-Technology","Edmonton","Canada","Jan, May, Sep","BBA","INR 12.37L","4 yrs","65%","6.5","","55","","No","Yes","Yes","Yes","Yes"
"Northern-Alberta-Institute-of-Technology","Edmonton","Canada","Jan, May, Sep","Diploma in Buisness Administration","INR 12.58L","2 yrs","35%","6.5","20","58","","No","Yes","Yes","Yes","Yes"
"Northern-Alberta-Institute-of-Technology","Edmonton","Canada","Jan, May, Sep","Diploma in Computer Engineering Technology","INR 15.10L","2 yrs","73%","6.5","20","40","","No","Yes","Yes","Yes","Yes"
"Northern-Alberta-Institute-of-Technology","Edmonton","Canada","Jan"," Diploma in Business Administration - Finance","INR 12.58L","2 yrs","35%","6.5","20","","","No","Yes","Yes","Yes","Yes"
"Northern-Alberta-Institute-of-Technology","Edmonton","Canada","Jan","Diploma in Chemical Engineering Technology","INR 12.84L","2 yrs","35%","6.5","20","","","No","Yes","Yes","Yes","Yes"
"Norquest-college","Edmonton","Canada","Jan/May/Sep","Diploma in Practical Nurse","INR 15.86L","2 yrs","35%","5.5","","","","No","Yes","Yes","Yes","Yes"
"Norquest-college","Edmonton","Canada","Jan/May/Sep","Diploma in Buisness Administration","INR 13.02L","2 yrs","35%","5.5","71","54","","No","Yes","Yes","Yes","Yes"
"Norquest-college","Edmonton","Canada","Jan/May/Sep","Diploma in Social work","INR 13.11L","2 yrs","35%","5.5","","","","No","Yes","Yes","Yes","Yes"
"Norquest-college","Edmonton","Canada","Jan/May/Sep","Diploma in Arts & Science","INR 16.87L","1.4 yrs","35%","5.5","","","","No","Yes","Yes","Yes","Yes"
"Norquest-college","Edmonton","Canada","Jan/May/Sep","Diploma in Energy Management","INR 19.41L","1.4 yrs","35%","5.5","","","","No","Yes","Yes","Yes","Yes"
"Norquest-college","Edmonton","Canada","Jan/May/Sep","Diploma in Machine Learning Analyst","INR 18.52L","1.4 yrs","35%","5.5","","","","No","Yes","Yes","Yes","Yes"
"Norquest-college","Edmonton","Canada","Jan/May/Sep","Diploma in Pharmacy Technician","INR 12.58L","2 yrs","35%","5.5","","","","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Bachelor of Applied Technology Petroleum Engineering ","INR 15.23L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Diploma in Journalism ","INR 13.53L","3 yrs","60%","6","20","53","INR 4.2L","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Bachelor of Hospitality and Tourism Management","INR 13.94L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Diploma in Information Technology ","INR 13.70L","2 yrs","55%","6","20","53","INR 8.44L","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Diploma in Mechanical Engineering Technology ","INR 12.41L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Diploma in Petroleum Engineering Technology ","INR 12.36L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Diploma in Chemical Laboratory Technology","INR 14.3L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Diploma in Architectural Technologies","INR 10.67L","2 yrs","50%","6","20","","INR 4.5L","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Diploma in Aircraft Maintenance Engineers Technology ","INR 12.4L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"Southern-Alberta-Institute-of-Technology","Southern-Alberta-Institute-of-Technology","Canada","Jan/May/Sep","Diploma in Interactive Design - Graphic Design Major","INR 15.22L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"MacEwan-University","Edmonton","Canada","Jan/may/ Sep","Bachelor of Commerce","INR 14.80L","4 yrs","65%","6.5","","","","No","Yes","Yes","Yes","Yes"
"MacEwan-University","Edmonton","Canada","Jan/may/ Sep","Bachelor of Science in Computer Science","INR 14.51L","4 yrs","65%","6.5","21","56","","No","Yes","Yes","Yes","Yes"
"MacEwan-University","Edmonton","Canada","Jan/may/ Sep","Bachelor of Science","INR 14.80L","4 yrs","65%","6.5","","","","No","Yes","Yes","Yes","Yes"
"MacEwan-University","Edmonton","Canada","Jan/may/ Sep","Diploma in Travel and Tourism","INR 17.75L","1.1 yrs","65%","6.5","","","","No","Yes","Yes","Yes","Yes"
"MacEwan-University","Edmonton","Canada","Jan/may/ Sep","Diploma in Social Work","INR 18.74L","2 yrs","65%","6.5","","","","No","Yes","Yes","Yes","Yes"
"MacEwan-University","Edmonton","Canada","Jan/may/ Sep","Diploma in Police & Investigations - Investigative Studies","INR 14.80L","2 yrs","65%","6.5","","","","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Diploma in Advanced Game Development","INR 21.92L","2 yrs","65%","6.5","88","61","","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Diploma in Music","INR 13.71L","2 yrs","65%","6.5","88","61","","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Diploma in Advanced 2D Digital Animation Production","INR 21.92L","2 yrs","65%","6.5","88","61","","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Diploma in English Language Proficiency","INR 14.32L","2 yrs","65%","4.5","","32","INR 5.40L","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Diploma in Mechatronics and Advanced Manufacturing Technology ","INR 14.32L","2 yrs","35%","6.5","88","61","","No","Yes","Yes","Yes","Yes"
